successful : 12/ 200 | Time taken: 944.05 seconds 
successful : 87/ 200 | Time taken: 967.52 seconds 
successful : 86/ 200 | Time taken: 1050.63 seconds 
successful : 85/ 200 | Time taken: 1063.70 seconds 
successful : 84/ 200 | Time taken: 1068.63 seconds 
successful : 83/ 200 | Time taken: 1062.20 seconds 
successful : 82/ 200 | Time taken: 1048.83 seconds 
successful : 138/ 200 | Time taken: 1059.46 seconds 
successful : 137/ 200 | Time taken: 1079.62 seconds 
successful : 136/ 200 | Time taken: 1149.23 seconds 
successful : 166/ 200 | Time taken: 1131.96 seconds 
successful : 165/ 200 | Time taken: 1147.55 seconds 
successful : 192/ 200 | Time taken: 940.53 seconds 
