successful : 8/ 200 | Time taken: 21.65 seconds 
successful : 63/ 200 | Time taken: 18.83 seconds 
successful : 62/ 200 | Time taken: 18.64 seconds 
successful : 61/ 200 | Time taken: 18.57 seconds 
successful : 60/ 200 | Time taken: 18.83 seconds 
successful : 59/ 200 | Time taken: 18.60 seconds 
successful : 58/ 200 | Time taken: 18.84 seconds 
successful : 147/ 200 | Time taken: 18.52 seconds 
successful : 146/ 200 | Time taken: 18.46 seconds 
successful : 145/ 200 | Time taken: 18.58 seconds 
successful : 178/ 200 | Time taken: 18.50 seconds 
successful : 177/ 200 | Time taken: 18.41 seconds 
successful : 194/ 200 | Time taken: 17.95 seconds 
