successful : 11/ 200 | Time taken: 108.88 seconds 
successful : 81/ 200 | Time taken: 96.35 seconds 
successful : 80/ 200 | Time taken: 95.10 seconds 
successful : 79/ 200 | Time taken: 94.53 seconds 
successful : 78/ 200 | Time taken: 94.77 seconds 
successful : 77/ 200 | Time taken: 95.42 seconds 
successful : 76/ 200 | Time taken: 96.28 seconds 
successful : 120/ 200 | Time taken: 97.49 seconds 
successful : 119/ 200 | Time taken: 96.44 seconds 
successful : 118/ 200 | Time taken: 98.39 seconds 
successful : 160/ 200 | Time taken: 99.14 seconds 
successful : 159/ 200 | Time taken: 97.85 seconds 
successful : 185/ 200 | Time taken: 95.74 seconds 
